quote,category,category_encoded
to live is the rarest thing in the world most people exist that is all,live life,68
make the most of yourself by fanning the tiny inner sparks of possibility into flames of achievement,achievement,1
be humble in your confidence yet courageous in your character,humility,52
have the courage to follow your heart and intuition they somehow already know what you truly want to become,courage,20
tough times never last but tough people do,strength,105
kites rise highest against the wind not with it,perseverance,83
a pessimist is one who makes difficulties of his opportunities and an optimist is one who makes opportunities of his difficulties,optimism,77
a good character is the best tombstone those who loved you and were helped by you will remember you when forgetmenots have withered carve your name on hearts not on marble,character,9
bravery is the audacity to be unhindered by failures and to walk with freedom strength and hope in the face of things unknown,bravery,7
the small courtesies sweeten life the greater ennoble it,courtesy,21
do something for those who have need of a mans help  something for which you get no pay but the privilege of doing it,giving back,43
do it again play it again sing it again read it again write it again sketch it again rehearse it again run it again try it again because again is practice and practice is improvement,practice,86
happiness can be found in even the darkest of times but only to those who remember to turn on the light,hope,51
when we give cheerfully and accept gratefully everyone is blessed,helping others,49
work hard be kind and amazing things will happen,hard work,47
the people closest to me determine my level of success or failure the better they are the better i am and if i want to go to the highest level i can do it only with the help of other people we have to take each other higher,teamwork,107
may light always surround you hope kindle and rebound you may your hurts turn to healing your heart embrace feeling may wounds become wisdom every kindness a prism may laughter infect you your passion resurrect you may goodness inspire your deepest desires through all that you reach for may your arms never tire,hope,51
if the world seems cold to you kindle fires to warm it,optimism,77
if you want to go fast go alone if you want to go far go together,community,15
great opportunities to help others seldom come but small ones surround us every day,helping others,49
consult not your fears but your hopes and your dreams,hope,51
when you realize nothing is lacking the whole world belongs to you,mindfulness,74
if you were born with the weakness to fall you were born with the strength to rise,strength,105
that thing that you do after your day job in your free time too early in the morning too late at night that thing you read about write about think about in fact fantasize about that thing you do when youre all alone and theres no one to impress nothing to prove no money to be made simply a passion to pursue thats it thats your thing thats your heart your guide thats the thing you must must do,purpose,89
sincere compliments cost nothing and can accomplish much,compliments,17
gratitude can transform common days into thanksgivings turn routine jobs into joy and change ordinary opportunities into blessings,gratitude,45
our similarities bring us to a common ground our differences allow us to be fascinated by each other,common ground,14
there is a loftier ambition than merely to stand high in the world it is to stoop down and lift mankind a little higher,ambition,2
work hard at work worth doing,hard work,47
there are only two options regarding commitment youre either in or youre out theres no such thing as life inbetween,commitment,13
we are made to persist thats how we find out who we are,persistence,84
courage kindness friendship character these are the qualities that define us as human beings and propel us on occasion to greatness,kindness,62
confront the dark parts of yourself and work to banish them with illumination and forgiveness your willingness to wrestle with your demons will cause your angels to sing,overcoming,78
compassion is a power that we first bestow on ourselves and then give away through our actionsto people to our planet when we recognize this that is when love becomes our legacy,compassion,16
true humility is being able to accept criticisms as graciously as we accept compliments,humility,52
when i was a child my mother said to me if you become a soldier youll be a general if you become a monk youll be the pope instead i became a painter and wound up as picasso,believe in yourself,6
without commitment you cannot have depth in anything whether its a relationship a business or a hobby,commitment,13
in the time we have it is surely our duty to do all the good we can to all the people we can in all the ways we can,helping others,49
a leader is someone who demonstrates whats possible,leadership,64
you can always always give something even if it is only kindness,kindness,62
the first duty of love is to listen,listening,66
give thanks for a little and you will find a lot,good manners,44
there never was any heart truly great and generous that was not also tender and compassionate,compassion,16
we dont need to share the same opinions as others but we need to be respectful,respect,92
peace comes from within do not seek it without,peace,82
spirit is like the wind in that we cant see it but can see its effects which are profound,soul,101
no legacy is so rich as honesty,honesty,50
strong is the soul kind and wise and beautiful,soul,101
the best teachers are those who show you where to look but dont tell you what to see,education,31
persistence can change failure into extraordinary achievement,persistence,84
there are no problems we cannot solve together and very few that we can solve by ourselves,stewardship,104
i dont know what your destiny will be but one thing i know the only ones among you who will be really happy are those who have sought and found how to serve,service,98
you have brains in your head you have feet in your shoes you can steer yourself in any direction you choose youre on your own and you know what you know you are the one wholl decide where to go,live life,68
never underestimate the valuable and important difference you make in every life you touch for the impact you make today has a powerful rippling effect on every tomorrow,making a difference,72
it is literally true that you can succeed best and quickest by helping others to succeed,pull together,88
if a child is to keep alive his inborn sense of wonder he needs the companionship of at least one adult who can share it rediscovering with him the joy excitement and mystery of the world we live in,including others,55
kindness isnt sacrifice so much as it is being considerate for the feelings of others sharing happiness the unselfish thought the spontaneous and friendly act forgetfulness of our own present interests,courtesy,21
everybody can be great because anybody can serve,equality,34
there was never a night or a problem that could defeat sunrise or hope,hope,51
educating the mind without educating the heart is no education at all,education,31
mistakes are always forgivable if one has the courage to admit them,forgiveness,38
hope smiles from the threshold of the year to come whispering it will be happier,hope,51
thousands of candles can be lit from a single candle and the life of the candle will not be shortened happiness never decreases by being shared,sharing,99
for it is in giving that we receive,giving back,43
i have never been a millionaire but i have enjoyed a great meal a crackling fire a glorious sunset a walk with a friend a hug from a child a cup of soup a kiss behind the ear there are plenty of lifes tiny delights for all of us,appreciation,4
go into the world and do well but more importantly go into the world and do good,volunteering,112
above everything else ive done ive always said ive had more guts than ive got talent,grit,46
i know youve heard it a thousand times before but its true hard work pays off if you want to be good you have to practice practice practice,practice,86
practice is the best of all instructors,practice,86
friendship improves happiness and abates misery by the doubling of our joy and the dividing of our grief,friendship,39
it takes each of us to make a difference for all of us,making a difference,72
peace is always beautiful,peace,82
the purpose of life is to live it to taste experience to the utmost to reach out eagerly and without fear for newer and richer experience,exploring,35
respect for ourselves guides our morals respect for others guides our manners,good manners,44
the greatest discovery of our generation is that human beings can alter their lives by altering their attitudes of mind as you think so shall you be,character,9
the greatest discovery of all time is that a person can change their future by merely changing their attitude,discovery,27
failure will never overtake me if my determination to succeed is strong enough,determination,25
there is nothing noble in being superior to your fellow man true nobility is being superior to your former self,humility,52
mindfulness is a way of befriending ourselves and our experience,mindfulness,74
we find greatest joy not in getting but in expressing what we are men do not really live for honors or for pay their gladness is not the taking and holding but in doing the striving the building the living it is a higher joy to teach than to be taught it is good to get justice but better to do it fun to have things but more to make them the happy man is he who lives the life of love not for the honors it may bring but for the life itself,joy,60
we must not allow the clock and the calendar to blind us to the fact that each moment of life is a miracle and mystery,inspiration,58
friendship is born at that moment when one person says to another what you too i thought i was the only one,friendship,39
a book is a dream that you hold in your hand,literacy,67
great changes may not happen right away but with effort even the difficult may become easy,commitment,13
when we honestly ask ourselves which person in our lives means the most to us we often find that it is those who instead of giving advice solutions or cures have chosen rather to share our pain and touch our wounds with a warm and tender hand,sharing,99
i am not bound to win but i am bound to be true i am not bound to succeed but i am bound to live up to what light i might have,believe in yourself,6
they say a person needs just three things to be truly happy in this world someone to love something to do and something to hope for,hope,51
i sustain myself with the love of family,family,36
in one of its earliest forms the word courage meant to speak ones mind by telling all ones heart,courage,20
twenty years from now you will be more disappointed by the things that you didnt do than by the ones you did do so throw off the bowlines sail away from the safe harbor catch the trade winds in your sails explore dream discover,spread your wings,103
a smile is a light in the window of the soul indicating that the heart is at home,soul,101
home is people not a place if you go back there after the people are gone then all you can see is what is not there any more,family,36
do your little bit of good where you are its those little bits of good put together that overwhelm the world,kindness,62
show me someone who has done something worthwhile and ill show you someone who has overcome adversity,overcoming,78
the difference between the impossible and the possible lies in a persons determination,determination,25
most people are like you and me or the people across the street or around the world from you and me just like you and me their hearts tell them that somewhere somehow they can make a positive difference in the world,making a difference,72
maybe who we are isnt so much about what we do but rather what were capable of when we least expect it,strength,105
theres always going to be bad stuff out there but heres the amazing thing  light trumps darkness every time you stick a candle into the dark but you cant stick the dark into the light,optimism,77
my family is my life and everything else comes second as far as whats important to me,family,36
i can be changed by what happens to me but i refuse to be reduced by it,resilience,91
let us be grateful to the people who make us happy they are the charming gardeners who make our souls blossom,gratitude,45
at the touch of love everyone becomes a poet,love,70
certain things catch your eye but pursue only those that capture the heart,motivation,75
dreams and dedication are a powerful combination,dedication,24
unexpected kindness is the most powerful least costly and most underrated agent of human change,kindness,62
the gem cannot be polished without friction nor a person perfected without trials,overcoming,78
darkness cannot drive out darkness only light can do that hate cannot drive out hate only love can do that,peace,82
this new day is too dear with its hopes and invitations to waste a moment on the yesterdays,hope,51
wherever you turn you can find someone who needs you even if it is a little thing do something for which there is no pay but the privilege of doing it remember you dont live in the world all of your own,volunteering,112
ambition is the path to success persistence is the vehicle you arrive in,persistence,84
be there for others but never leave yourself behind,being there,5
when there is teamwork and collaboration wonderful things can be achieved,teamwork,107
our soul desires to be understanding our ego is only concerned with being understood when you are being understanding you are connected to your soul,soul,101
just as one cannot live without dreams one cannot live without hope if dreams reflect the past hope summons the future,hope,51
families are the compass that guides us,family,36
the soul is the truth of who we are,soul,101
joy is not in things it is in us,joy,60
its not that optimism solves all of lifes problems it is just that it can sometimes make the difference between coping and collapsing,optimism,77
anyone can look for fashion in a boutique or history in a museum the creative explorer looks for history in a hardware store and fashion in an airport,creativity,22
hard work spotlights the character of people some turn up their sleeves some turn up their noses and some dont turn up at all,hard work,47
gratitude unlocks the fullness of life it turns what we have into enough and more it turns denial into acceptance chaos to order confusion to clarity it can turn a meal into a feast a house into a home a stranger into a friend gratitude makes sense of our past brings peace for today and creates a vision for tomorrow,gratitude,45
peace and justice are two sides of the same coin,justice,61
chance is always powerful let your hook be always cast in the pool where you least expect it there will be a fish,hope,51
we are here to add what we can to life not to get what we can from life,humility,52
you have the capability to change your life all with a simple shift in perspective,perspective,85
the purpose of life is a life of purpose,purpose,89
having kidsthe responsibility of rearing good kind ethical responsible human beingsis the biggest job anyone can embark on,parenting,79
extend yourself in kindness to other human beings wherever you can,kindness,62
trust is the glue of life its the foundational principle that holds all relationships,trust,109
i am the me i choose to be,humility,52
innovation is the ability to see change as an opportunity  not a threat,innovation,57
inclusion works to the advantage of everyone we all have things to learn and we all have something to teach,inclusion,56
forget yesterday  it has already forgotten you dont sweat tomorrow  you havent even met instead open your eyes and your heart to a truly precious gift  today,appreciation,4
working hard is important but there is something that matters even more believing in yourself,believe in yourself,6
for a seed to achieve its greatest expression it must come completely undone the shell cracks its insides come out and everything changes to someone who doesnt understand growth it would look like complete destruction,overcoming,78
the most basic and powerful way to connect to another person is to listen just listen,listening,66
we make a living by what we get we make a life by what we give,giving back,43
and still after all this time the sun has never said to the earthyou owe me look what happens with love like that it lights up the sky,love,70
just one smile immensely increases the beauty of the universe,smile,100
at the end of the day its not about what you have or even what youve accomplished its about who youve lifted up who youve made better its about what youve given back,giving back,43
i place a high moral value on the way people behave i find it repellent to have a lot and to behave with anything other than courtesy in the old sense of the word  politeness of the heart a gentleness of the spirit,courtesy,21
you never know how strong you are until being strong is the only choice you have,strength,105
with the gift of listening comes the gift of healing,listening,66
wonder is the beginning of wisdom,wonder,114
in any moment of decision the best thing you can do is the right thing the next best thing is the wrong thing and the worst thing you can do is nothing,right choices,94
the true meaning of life is to plant trees under whose shade you do not expect to sit,making a difference,72
even after all this time the sun never says to the earth you owe me look what happens with a love like that it lights the whole sky,love,70
strength of a character isnt always about how much you can handle before you break its also about how much you can handle after youve been broken,character,9
a leader is a dealer in hope,leadership,64
if one advances confidently in the direction of his dreams and endeavors to live the life which he has imagined he will meet with a success unexpected in common hours,live your dreams,69
take care be kind be considerate of other people and other species and be loving,courtesy,21
to infinity and beyond,spread your wings,103
i dont want to get to the end of my life and find that i just lived the length of it i want to have lived the width of it as well,live life,68
to love and be loved is to feel the sun from both sides,love,70
the bond that links your true family is not one of blood but of respect and joy in each others life rarely do members of one family grow up under the same roof,family,36
if civilization is to survive we must cultivate the science of human relationships  the ability of all peoples of all kinds to live together in the same world at peace,unity,110
the more we share the more we have,sharing,99
its your place in the world its your life go on and do all you can with it and make it the life you want to live,live life,68
fall seven times stand up eight,determination,25
some people grumble that roses have thorns i am grateful that thorns have roses,gratitude,45
kindness isnt about the thanks you get its about the act itself,love,70
when you look for things in life like love meaning motivation it implies they are sitting behind a tree or under a rock the most successful people in life recognize that in life they create their own love they manufacture their own meaning they generate their own motivation,motivation,75
life takes on meaning when you become motivated set goals and charge after them in an unstoppable manner,ambition,2
fantasy is a necessary ingredient in living its a way of looking at life through the wrong end of a telescope and that enables you to laugh at lifes realities,laughter,63
the real voyage of discovery lies not in seeking new lands but in seeing with new eyes,discovery,27
into each day put in about one teaspoonful of good spirits a dash of fun a pinch of folly a sprinkling of play and a heaping cupful of good humor,humor,53
the more grateful i am the more beauty i see,gratitude,45
if your actions create a legacy that inspires others to dream more learn more do more and become more then you are an excellent leader,leadership,64
to help yourself help others whatever good you do travels a circle and returns to you many times over but remember life isnt about what you get its about what you become,helping others,49
a happy family is but an earlier heaven,family,36
manners are a sensitive awareness of the feelings of others if you have that awareness you have good manners no matter what fork you use,good manners,44
the struggle ends when gratitude begins,gratitude,45
one kind word can warm three winter months,kindness,62
you are a match for your mountain,overcoming,78
the most important thing in communication is to hear what isnt being said,listening,66
it is only as we develop others that we permanently succeed,encouragement,33
its easy to find reasons for division between people finding common ground is harder but a step towards happiness,common ground,14
always be on the lookout for the presence of wonder,wonder,114
dont ever regret being honest period,honesty,50
when we strive to become better than we are everything around us becomes better too,inspiration,58
courtesy is a small act but it packs a mighty wallop,courtesy,21
i believe in the spirit of equality and the spirit of this country as one of love and compassion and kindness,love,70
its faith that will take you through and determination that will drive you,drive,30
what would you attempt if you knew you could not fail,imagine,54
i think tolerance and acceptance and love is something that feeds every community,acceptance,0
fear grows out of the things we think it lives in our minds compassion grows out of the things we are and lives in our hearts,compassion,16
a good coach can change a game a great coach can change a life,mentoring,73
we dont receive wisdom we must discover it for ourselves after a journey that no one can take for us or spare us,wisdom,113
let us develop respect for all living things let us try to replace violence and intolerance with understanding compassion and love,stewardship,104
what soap is to the body laughter is to the soul,laughter,63
plant seeds of happiness hope success and love it will all come back to you in abundance this is the law of nature,appreciating nature,3
we must become what we wish to teach,teaching by example,106
until we have seen someones darkness we dont really know who they are until we have forgiven someones darkness we dont really know what love is,forgiveness,38
the two most important days in your life are the day you are born and the day you find out why,purpose,89
to put the world right in order we must first put the nation in order to put the nation in order we must first put the family in order to put the family in order we must first cultivate our personal life we must first set our hearts right,do your part,29
when you get in a tight place and everything goes against you till it seems as though you could not hold on a minute longer never give up then for that is just the place and time that the tide will turn,overcoming,78
failure is often that early morning hour of darkness which precedes the dawning of the day of success,perseverance,83
our job on earth isnt to criticize reject or judge our purpose is to offer a helping hand compassion and mercy we are to do unto others as we hope they would do unto us,including others,55
have patience all things are difficult before they become easy,patience,81
i feel the capacity to care is the thing which gives life its deepest significance,caring,8
a kind gesture can reach a wound that only compassion can heal,compassion,16
love in action is service,love,70
nurturing an inclusive culture begins in the family home is the first place to foster openness and a culture of inclusion,inclusion,56
where there is love there is life,love,70
good manners and soft words have brought many a difficult thing to pass,good manners,44
but where was i to start the world is so vast i shall start with the country i know best my own but my country is so very large i had better start with my town but my town too is large i had best start with my street no my home no my family never mind i shall start with myself,making a difference,72
today give yourself permission to be outrageously kind irrationally warm improbably generous i promise it will be a blast,caring,8
you cannot buy loyalty you cannot buy the devotion of hearts minds and souls you have to earn these things,loyalty,71
call it a clan call it a network call it a tribe call it a family whatever you call it whoever you are you need one,family,36
an early morning walk is a blessing for the whole day,get outside,41
being thankful is not always experienced as a natural state of existence we must work at it akin to a type of strength training for the heart,gratitude,45
true belonging doesnt require you to change who you are it requires you to be who you are,including others,55
no more important duty can be urged upon those who are entering the great theater of life than simple loyalty to their best convictions,loyalty,71
life has many ways of testing a persons will either by having nothing happen at all or by having everything happen all at once,resilience,91
an optimist understands that life can be a bumpy road but at least it is leading somewhere they learn from mistakes and failures and are not afraid to fail again,optimism,77
if there is any kindness i can show or any good thing i can do to any fellow being let me do it now and not deter or neglect it as i shall not pass this way again,compassion,16
i am not afraid i was born to do this,purpose,89
three grand essentials to happiness in this life are something to do something to love and something to hope for,motivation,75
talk to yourself like you would to someone you love,believe in yourself,6
in recognizing the humanity of our fellow beings we pay ourselves the highest tribute,respect,92
live your life by a compass not a clock,spread your wings,103
strength doesnt come from what you can do it comes from overcoming the things you once thought you couldnt,overcoming,78
vulnerability is the birthplace of innovation creativity and change,innovation,57
the love in your heart wasnt put there to stay love isnt love til you give it away,love,70
we can learn to see each other and see ourselves in each other and recognize that human beings are more alike than we are unalike,common ground,14
the best day of your life is the one on which you decide your life is your own no apologies or excuses no one to lean on rely on or blame the gift is yours  it is an amazing journey  and you alone are responsible for the quality of it this is the day your life really begins,responsibility,93
the innovation point is the pivotal moment when talented and motivated people seek the opportunity to act on their ideas and dreams,innovation,57
forgive forget bear with the faults of others as you would have them bear with yours,forgiveness,38
the greatest leaders are not necessarily the ones who do the greatest things they are the ones that inspire others to do great things,leadership,64
love is the the most radically subversive activism of all the only thing that ever changed anyone,love,70
may we think of freedom not as the right to do as we please but as the opportunity to do what is right,justice,61
it is not beauty that endears its love that makes us see beauty,true beauty,108
i think at a childs birth if a mother could ask a fairy godmother to endow it with the most useful gift that gift would be curiosity,curiosity,23
excellence is the result of caring more than others think is wise risking more than others think is safe dreaming more than others think is practical and expecting more than others think is possible,caring,8
nature brings solace in all troubles,get outside,41
when we face the worst that can happen in any situation we grow when circumstances are at their worst we can find our best,overcoming,78
surrender to what is let go of what was have faith in what will be,mindfulness,74
a true friend is someone who thinks that you are a good egg even though he knows that you are slightly cracked,friendship,39
one must care about a world one will not see,caring,8
before you are a leader success is all about growing yourself when you become a leader success is all about growing others,leadership,64
when we feel love and kindness toward others it not only makes others feel loved and cared for but it helps us also to develop inner happiness and peace,love,70
be brave take risks nothing can substitute experience,bravery,7
try to be like the turtle  at ease in your own shell,believe in yourself,6
you may encounter many defeats but you must not be defeated in fact it may be necessary to encounter the defeats so you can know who you are what you can rise from how you can still come out of it,character,9
the ideals which have lighted my way and time after time have given me new courage to face life cheerfully have been kindness beauty and truth,kindness,62
believe that theres light at the end of the tunnel believe that you might be that light for someone else,helping others,49
do what you can with what you have where you are,do thy best,28
if you cant excel with talent triumph with effort,hard work,47
for me i am driven by two main philosophies know more today about the world than i knew yesterday and lessen the suffering of others youd be surprised how far that gets you,learning,65
the joy of life comes from our encounters with new experiences and hence there is no greater joy than to have an endlessly changing horizon for each day to have a new and different sun,get outside,41
peace is a daytoday problem the product of a multitude of events and judgments peace is not an is it is a becoming,peace,82
not knowing when the dawn will come i open every door,opportunity,76
dont fear failure so much that you refuse to try new things the saddest summary of life contains three descriptions could have might have and should have,live life,68
the soul should always stand ajar ready to welcome the ecstatic experience,soul,101
personality begins where comparison leaves off be unique be memorable be confident be proud,confidence,18
the molecules of your body are the same molecules that make up the nebulae that burn inside the stars themselves we are star stuff,believe in yourself,6
practice isnt the thing you do once youre good its the thing you do that makes you good,practice,86
ask yourself have you been kind today make kindness your modus operandi and change your world,kindness,62
do the things you used to talk about doing but never did know when to let go and when to hold on tight stop rushing dont be intimidated to say it like it is stop apologizing all the time learn to say no so your yes has some oomph spend time with the friends who lift you up and cut loose the ones who bring you down stop giving your power away be more concerned with being interested than being interesting be old enough to appreciate your freedom and young enough to enjoy it finally know who you are,inspiration,58
in order to succeed we must first believe that we can,motivation,75
and suddenly you know its time to start something new and trust the magic of beginnings,inspiration,58
life itself is a privilege but to live life to the fullest well that is a choice,live life,68
compassion asks us to go where it hurts to enter into the places of pain to share in brokenness fear confusion and anguish compassion challenges us to cry out with those in misery to mourn with those who are lonely to weep with those in tears compassion requires us to be weak with the weak vulnerable with the vulnerable and powerless with the powerless compassion means full immersion in the condition of being human,compassion,16
i am only one but i am one i cannot do everything but i can do something and i will not let what i cannot do interfere with what i can do,volunteering,112
your vision becomes clear when you look inside your heart who looks outside dreams who looks inside awakens,live your dreams,69
it is time for us all to stand and cheer for the doer the achiever  the one who recognizes the challenges and does something about it,encouragement,33
be who you are and say what you feel because in the end those who matter dont mind and those who mind dont matter,confidence,18
there are painters who transform the sun to a yellow spot but there are others who with the help of their art and their intelligence transform a yellow spot into sun,creativity,22
life isnt about waiting for the storm to pass its about learning how to dance in the rain,rising above,95
if you have a dream dont just sit there gather courage to believe that you can succeed and leave no stone unturned to make it a reality,live your dreams,69
let us always meet each other with smile for the smile is the beginning of love,smile,100
it may take courage to embrace the possibilities of your own potential but once youve flown past the summit of your fears nothing will seem impossible,courage,20
no act of kindness is too small the gift of kindness may start as a small ripple that over time can turn into a tidal wave affecting the lives of many,kindness,62
the mind is just like a musclethe more you exercise it the stronger it gets and the more it can expand,mindfulness,74
treat people as if they were what they ought to be and you help them become what they are capable of being,leadership,64
the best thing to give to your enemy is forgiveness to an opponent tolerance to a friend your heart to your child a good example to a father deference to your mother conduct that will make her proud of you to yourself respect to all men charity,generosity,40
you cant use up creativity the more you use the more you have,creativity,22
and the day came when the risk to remain tight in a bud was more painful than the risk it took to blossom,spread your wings,103
we can each define ambition and progress for ourselves the goal is to work toward a world where expectations are not set by the stereotypes that hold us back but by our personal passion talents and interests,ambition,2
between stimulus and response there is a space in that space is our power to choose our response in our response lies our growth and our freedom,mindfulness,74
the smallest act of kindness is worth more than the grandest intention,kindness,62
learning is a treasure that will follow its owner everywhere,learning,65
ambition is enthusiasm with a purpose,ambition,2
never look down to test the ground before taking your next step only he who keeps his eye fixed on the far horizon will find his right road,inspiration,58
i took a walk in the woods and came out taller than the trees,appreciating nature,3
others have seen what is and asked why i have seen what could be and asked why not,creativity,22
there are those whose lives affect all others around them quietly touching one heart who in turn touches another reaching out to ends further than they would ever know,unity,110
creativity is intelligence having fun,creativity,22
there is only one thing stronger than all the armies of the world and that is an idea whose time has come,innovation,57
the most essential factor is persistencethe determination never to allow your energy or enthusiasm to be dampened by discouragement,persistence,84
i truly believe the only way we can create global peace is through not only educating our minds but our hearts and our souls,peace,82
a will finds a way,determination,25
passion is one great force that unleashes creativity because if youre passionate about something then youre more willing to take risks,passion,80
never give up on a dream just because of the time it will take to accomplish it the time will pass anyway,live your dreams,69
you must give everything to make your life as beautiful as the dreams that dance in your imagination,imagine,54
dont be satisfied with stories of how things have gone with others unfold your own myth,confidence,18
the most beautiful discovery true friends make is that they can grow separately without growing apart,friendship,39
when one tugs at a single thing in nature one finds it attached to the rest of the world,stewardship,104
knowledge comes from learning wisdom comes from living,wisdom,113
few things leave a deeper mark on the reader than the first book that finds its way to her heart,literacy,67
every piece of the universe even the tiniest little snow crystal matters somehow i have a place in the pattern and so do you,purpose,89
you must do the thing which you think you cannot do,motivation,75
success isnt always about greatness its about consistency consistent hard work leads to success greatness will come,hard work,47
i have missed more than  shots in my career i have lost almost  games on  occasions i have been entrusted to take the game winning shotand i missed i have failed over and over and over again in my life and thats precisely why i succeed,motivation,75
the secret of getting ahead is getting started,ambition,2
find the goodand praise it,encouragement,33
correction does much but encouragement does more,encouragement,33
practice civility toward one another admire and emulate ethical behavior wherever you find it apply a rigid standard of morality to your lives and if periodically you fail as you surely will adjust your lives not the standards,civility,12
the creative is the place where no one else has ever been you have to leave the city of your comfort and go into the wilderness of your intuition,creativity,22
start each day with a positive thought and a grateful heart,gratitude,45
gratitude is a powerful catalyst for happiness its the spark that lights a fire of joy in your soul,gratitude,45
you can choose courage or you can choose comfort but you cannot choose both,courage,20
fitness helps me think better feel better and move better,fitness,37
when you are listening to somebody completely attentively then you are listening not only to the words but also to the feeling of what is being conveyed to the whole of it not part of it,listening,66
my humanity is bound up in yours for we can only be human together,unity,110
dedicate some of your life to others your dedication will not be a sacrifice it will be an exhilarating experience because it is an intense effort applied toward a meaningful end,dedication,24
joy is a decision a really brave one about how you are going to respond to life,joy,60
your time is limited so dont waste it living someone elses life dont be trapped by dogma which is living with the results of other peoples thinking dont let the noise of others opinions drown out your own inner voice and most important have the courage to follow your heart and intuition they somehow already know what you truly want to become everything else is secondary,kindness,62
the same boiling water that softens the potato hardens the egg its about what youre made of not the circumstances,grit,46
i believe that the greatest kindness is acceptance,including others,55
this is part of what a family is about not just love its knowing that your family will be there watching out for you nothing else will give you that not money not fame not work,family,36
participate joyfully in the sorrows of the world we cannot cure the world of sorrows but we can choose to live in joy,joy,60
the mediocre teacher tells the good teacher explains the superior teacher demonstrates the great teacher inspires,teaching by example,106
to be whole to be complete wildness reminds us what it means to be human what we are connected to rather than what we are separate from,get outside,41
practice puts brains in your muscles,practice,86
he who would learn to fly one day must first learn to stand and walk and run and climb and dance one cannot fly into flying,dedication,24
always be yourself and have faith in yourself,believe in yourself,6
the value of life is not based on how long we live but how much we contribute to others in our society,devotion,26
if you get give if you learn teach,helping others,49
creative people do not see things for what they are they see them for what they can be,creativity,22
love and kindness are never wasted they always make a difference they bless the one who receives them and they bless you the giver,kindness,62
a smile is the universal welcome,smile,100
a laugh is a smile that bursts,laughter,63
what greater thing is there for human souls than to feel that they are joined for life  to be with each other in silent unspeakable memories,family,36
imagination is not just the catalyst of art its also the catalyst of compassion,imagine,54
instead of thinking about where you are think about where you want to be it takes twenty years of hard work to become an overnight success,imagine,54
service to others is the rent you pay for your room here on earth,volunteering,112
the word listen contains the same letters as the word silent,listening,66
courage is contagious every time we choose courage we make everyone around us a little better and the world a little braver,courage,20
from what we get we can make a living what we give however makes a life,giving,42
sometimes miracles are just good people with kind hearts,kindness,62
early to bed and early to rise makes a man healthy wealthy and wise,health,48
grit is that extra something that separates the most successful people from the rest its the passion perseverance and stamina that we must channel in order to stick with our dreams until they become a reality,grit,46
always reward your long hours of labor surrounded by your family nurture their love carefully remembering that your children need models not critics and even if you have failed at all else in the eyes of the world if you have a loving family you are a success,family,36
happiness is a journey not a destination for a long time it seemed to me that life was about to beginreal life but there was always some obstacle in the way something to be gotten through first some unfinished business time still to be served a debt to be paid at last it dawned on me that these obstacles were my life this perspective has helped me to see there is no way to happiness happiness is the way so treasure every moment you have and remember that time waits for no one,live life,68
as i walked out the door toward the gate that would lead to my freedom i knew if i didnt leave my bitterness and hatred behind id still be in prison,forgiveness,38
its not selfish to love yourself take care of yourself and to make your happiness a priority its necessary,self-care,96
the cure for anything is salt watertears sweat or the sea,get outside,41
beauty begins the moment you decide to be yourself,true beauty,108
in the end just three things matter how well we have lived how well we have loved how well we have learned to let go,mindfulness,74
freedom morality and the human dignity of the individual consists precisely in this that he does good not because he is forced to do so but because he freely conceives it wants it and loves it,kindness,62
smiling is infectious you catch it like the flu when someone smiled at me today i started smiling too,smile,100
sometimes it is better to lose and do the right thing than to win and do the wrong thing,right choices,94
wouldnt it be powerful if you fell in love with yourself so deeply that you would do just about anything if you knew it would make you happy this is precisely how much life loves you and wants you to nurture yourself the deeper you love yourself the more the universe will affirm your worth then you can enjoy a lifelong love affair that brings you the richest fulfillment from inside out,confidence,18
real integrity is doing the right thing knowing that nobodys going to know whether you did it or not,integrity,59
believe in yourself and go for it,believe in yourself,6
including people with differences is the right thing to do,inclusion,56
i have seen what a laugh can do it can transform almost unbearable tears into something bearable even hopeful,laughter,63
what you do makes a difference and you have to decide what kind of a difference you want to make,making a difference,72
if you go to work on your goals your goals will go to work on you if you go to work on your plan your plan will go to work on you whatever good things we build end up building us,hard work,47
when i say its you i like im talking about that part of you that knows that life is far more than anything you can ever see or hear or touch that deep part of you that allows you to stand for those things without which humankind cannot survive love that conquers hate peace that rises triumphant over war and justice that proves more powerful than greed,peace,82
it is good to have an end to journey toward but it is the journey that matters in the end,courage,20
adversity does not build character it reveals it,character,9
no soul that aspires can ever fail to rise no heart that loves can ever be abandoned difficulties exist only that in overcoming them we may grow strong and they who have suffered are able to save,resilience,91
our deepest fear is not that we are inadequate our deepest fear is that we are powerful beyond measure it is our light not our darkness that frightens us most we ask ourselves who am i to be brilliant gorgeous talented and fabulous actually who are you not to be,believe in yourself,6
what is creative living any life that is driven more strongly by curiosity than by fear,creativity,22
what we do today right now will have an accumulated effect on all our tomorrows,responsibility,93
i cannot believe that the purpose of life is to be happy i think the purpose of life is to be useful to be responsible to be compassionate it is above all to matter to count to stand for something to have made some difference that you lived at all,making a difference,72
maybe the journey isnt so much about becoming anything maybe its about unbecoming everything that isnt really you so you can be who you were meant to be in the first place,spread your wings,103
we all came in on different ships but were all in the same boat now,inclusion,56
if you want others to be happy practice compassion if you want to be happy practice compassion,practice,86
